tijdstip;locatie;component;waarde;LKI
2017-04-03 02:00:00+02:00;Amsterdam-A10-West;PM10;13,39;2
2017-04-03 03:00:00+02:00;Amsterdam-A10-West;PM10;18,51;2
2017-04-03 04:00:00+02:00;Amsterdam-A10-West;PM10;14,67;2
2017-04-03 05:00:00+02:00;Amsterdam-A10-West;PM10;13,39;2
2017-04-03 06:00:00+02:00;Amsterdam-A10-West;PM10;12,11;2
2017-04-03 07:00:00+02:00;Amsterdam-A10-West;PM10;10,83;2
2017-04-03 08:00:00+02:00;Amsterdam-A10-West;PM10;30,03;4
2017-04-03 09:00:00+02:00;Amsterdam-A10-West;PM10;4,43;1
2017-04-03 10:00:00+02:00;Amsterdam-A10-West;PM10;33,87;4
2017-04-03 11:00:00+02:00;Amsterdam-A10-West;PM10;19,79;2
2017-04-03 12:00:00+02:00;Amsterdam-A10-West;PM10;18,51;2
2017-04-03 13:00:00+02:00;Amsterdam-A10-West;PM10;18,51;2
2017-04-03 14:00:00+02:00;Amsterdam-A10-West;PM10;26,19;3
2017-04-03 15:00:00+02:00;Amsterdam-A10-West;PM10;22,35;3
2017-04-03 16:00:00+02:00;Amsterdam-A10-West;PM10;28,75;3
2017-04-03 17:00:00+02:00;Amsterdam-A10-West;PM10;17,23;2
2017-04-03 18:00:00+02:00;Amsterdam-A10-West;PM10;24,91;3
2017-04-03 19:00:00+02:00;Amsterdam-A10-West;PM10;21,07;3
2017-04-03 20:00:00+02:00;Amsterdam-A10-West;PM10;33,87;4
2017-04-03 21:00:00+02:00;Amsterdam-A10-West;PM10;26,19;3
2017-04-03 22:00:00+02:00;Amsterdam-A10-West;PM10;26,19;3
2017-04-03 23:00:00+02:00;Amsterdam-A10-West;PM10;33,87;4
2017-04-04 00:00:00+02:00;Amsterdam-A10-West;PM10;28,75;3
2017-04-04 01:00:00+02:00;Amsterdam-A10-West;PM10;23,63;3
2017-04-04 02:00:00+02:00;Amsterdam-A10-West;PM10;21,07;3
2017-04-04 03:00:00+02:00;Amsterdam-A10-West;PM10;22,35;3
2017-04-04 04:00:00+02:00;Amsterdam-A10-West;PM10;30,03;4
2017-04-04 05:00:00+02:00;Amsterdam-A10-West;PM10;24,91;3
2017-04-04 06:00:00+02:00;Amsterdam-A10-West;PM10;12,11;2
2017-04-04 07:00:00+02:00;Amsterdam-A10-West;PM10;21,07;3
