tijdstip;locatie;component;waarde;LKI
2017-04-03 02:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;6,6;1
2017-04-03 02:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;15,0;2
2017-04-03 02:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;0,32;1
2017-04-03 03:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;0,25;1
2017-04-03 03:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;6,0;1
2017-04-03 03:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;12,1;2
2017-04-03 03:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;0,4;1
2017-04-03 04:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;7,7;1
2017-04-03 04:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;15,5;2
2017-04-03 04:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;0,6;1
2017-04-03 04:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;0,27;1
2017-04-03 05:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;13,3;2
2017-04-03 05:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;13,0;2
2017-04-03 05:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;1,4;1
2017-04-03 05:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;0,34;1
2017-04-03 06:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;19,0;2
2017-04-03 06:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;12,9;2
2017-04-03 06:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;1,7;1
2017-04-03 06:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;0,4;1
2017-04-03 07:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;34,0;4
2017-04-03 07:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;13,7;2
2017-04-03 07:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;9,9;1
2017-04-03 07:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;0,81;1
2017-04-03 08:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;44,7;4
2017-04-03 08:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;12,5;2
2017-04-03 08:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;9,0;1
2017-04-03 08:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;0,92;1
2017-04-03 09:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;1,59;2
2017-04-03 09:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;56,4;5
2017-04-03 09:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;12,6;2
2017-04-03 09:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;25,7;3
2017-04-03 10:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;80,3;7
2017-04-03 10:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;17,1;2
2017-04-03 10:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;49,4;3
2017-04-03 10:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;1,94;2
2017-04-03 11:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;2,13;2
2017-04-03 11:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;64,9;6
2017-04-03 11:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;21,1;3
2017-04-03 11:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;43,6;3
2017-04-03 12:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;58,3;5
2017-04-03 12:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;24,8;3
2017-04-03 12:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;41,3;3
2017-04-03 12:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;1,88;2
2017-04-03 13:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;58,9;5
2017-04-03 13:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;20,7;3
2017-04-03 13:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;38,4;3
2017-04-03 13:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;1,93;2
2017-04-03 14:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;54,2;5
2017-04-03 14:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;21,9;3
2017-04-03 14:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;50,9;4
2017-04-03 14:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;1,97;2
2017-04-03 15:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;63,1;6
2017-04-03 15:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;24,4;3
2017-04-03 15:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;59,4;4
2017-04-03 15:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;2,29;2
2017-04-03 16:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;57,2;5
2017-04-03 16:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;27,0;3
2017-04-03 16:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;45,7;3
2017-04-03 16:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;2,13;2
2017-04-03 17:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;52,5;5
2017-04-03 17:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;29,5;3
2017-04-03 17:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;40,8;3
2017-04-03 17:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;2,08;2
2017-04-03 18:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;2,26;2
2017-04-03 18:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;59,9;5
2017-04-03 18:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;25,7;3
2017-04-03 18:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;40,0;3
2017-04-03 19:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;19,4;2
2017-04-03 19:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;37,2;3
2017-04-03 19:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;60,2;6
2017-04-03 19:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;2,16;2
2017-04-03 20:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;61,5;6
2017-04-03 20:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;23,7;3
2017-04-03 20:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;44,1;3
2017-04-03 20:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;2,67;2
2017-04-03 21:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;65,3;6
2017-04-03 21:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;30,7;4
2017-04-03 21:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;36,5;3
2017-04-03 21:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;1,84;2
2017-04-03 22:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;69,9;6
2017-04-03 22:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;27,3;3
2017-04-03 22:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;42,4;3
2017-04-03 22:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;2,42;2
2017-04-03 23:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;72,4;6
2017-04-03 23:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;29,2;3
2017-04-03 23:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;29,8;3
2017-04-03 23:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;2,31;2
2017-04-04 00:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;69,8;6
2017-04-04 00:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;37,5;4
2017-04-04 00:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;27,4;3
2017-04-04 00:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;2,24;2
2017-04-04 01:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;56,1;5
2017-04-04 01:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;30,7;4
2017-04-04 01:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;17,5;2
2017-04-04 01:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;1,75;2
2017-04-04 02:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;54,2;5
2017-04-04 02:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;33,9;4
2017-04-04 02:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;14,9;2
2017-04-04 02:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;1,89;2
2017-04-04 03:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;46,0;5
2017-04-04 03:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;36,0;4
2017-04-04 03:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;12,4;2
2017-04-04 03:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;1,9;2
2017-04-04 04:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;51,7;5
2017-04-04 04:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;35,3;4
2017-04-04 04:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;28,7;3
2017-04-04 04:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;2,08;2
2017-04-04 05:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;53,9;5
2017-04-04 05:00:00+02:00;Amsterdam-Jan van Galenstraat;PM10;35,5;4
2017-04-04 05:00:00+02:00;Amsterdam-Jan van Galenstraat;NO;38,2;3
2017-04-04 05:00:00+02:00;Amsterdam-Jan van Galenstraat;FN;2,14;2
2017-04-04 06:00:00+02:00;Amsterdam-Jan van Galenstraat;NO2;59,4;5
