tijdstip;locatie;component;waarde;LKI
2017-04-03 11:00:00+02:00;Amsterdam-Einsteinweg;NO2;90,5;7
2017-04-03 11:00:00+02:00;Amsterdam-Einsteinweg;FN;3,67;3
2017-04-03 11:00:00+02:00;Amsterdam-Einsteinweg;NO;102,2;5
2017-04-03 11:00:00+02:00;Amsterdam-Einsteinweg;CO;399,0;2
2017-04-03 12:00:00+02:00;Amsterdam-Einsteinweg;NO2;80,0;7
2017-04-03 12:00:00+02:00;Amsterdam-Einsteinweg;FN;2,86;2
2017-04-03 12:00:00+02:00;Amsterdam-Einsteinweg;NO;78,9;4
2017-04-03 12:00:00+02:00;Amsterdam-Einsteinweg;CO;371,0;2
2017-04-03 13:00:00+02:00;Amsterdam-Einsteinweg;CO;362,8;2
2017-04-03 13:00:00+02:00;Amsterdam-Einsteinweg;NO2;76,7;7
2017-04-03 13:00:00+02:00;Amsterdam-Einsteinweg;FN;2,55;2
2017-04-03 13:00:00+02:00;Amsterdam-Einsteinweg;PM25;17,0;3
2017-04-03 13:00:00+02:00;Amsterdam-Einsteinweg;PM10;28,1;3
2017-04-03 13:00:00+02:00;Amsterdam-Einsteinweg;NO;75,1;4
2017-04-03 14:00:00+02:00;Amsterdam-Einsteinweg;PM10;27,4;3
2017-04-03 14:00:00+02:00;Amsterdam-Einsteinweg;FN;3,07;3
2017-04-03 14:00:00+02:00;Amsterdam-Einsteinweg;PM25;17,4;3
2017-04-03 14:00:00+02:00;Amsterdam-Einsteinweg;NO;85,2;4
2017-04-03 14:00:00+02:00;Amsterdam-Einsteinweg;CO;367,5;2
2017-04-03 14:00:00+02:00;Amsterdam-Einsteinweg;NO2;77,4;7
2017-04-03 15:00:00+02:00;Amsterdam-Einsteinweg;NO2;69,3;6
2017-04-03 15:00:00+02:00;Amsterdam-Einsteinweg;FN;3,08;3
2017-04-03 15:00:00+02:00;Amsterdam-Einsteinweg;NO;73,4;4
2017-04-03 15:00:00+02:00;Amsterdam-Einsteinweg;CO;382,5;2
2017-04-03 16:00:00+02:00;Amsterdam-Einsteinweg;NO2;77,3;7
2017-04-03 16:00:00+02:00;Amsterdam-Einsteinweg;FN;3,61;3
2017-04-03 16:00:00+02:00;Amsterdam-Einsteinweg;NO;81,9;4
2017-04-03 16:00:00+02:00;Amsterdam-Einsteinweg;CO;420,1;2
2017-04-03 17:00:00+02:00;Amsterdam-Einsteinweg;NO2;75,9;7
2017-04-03 17:00:00+02:00;Amsterdam-Einsteinweg;FN;3,24;3
2017-04-03 17:00:00+02:00;Amsterdam-Einsteinweg;PM25;22,6;4
2017-04-03 17:00:00+02:00;Amsterdam-Einsteinweg;PM10;38,9;4
2017-04-03 17:00:00+02:00;Amsterdam-Einsteinweg;NO;77,1;4
2017-04-03 17:00:00+02:00;Amsterdam-Einsteinweg;CO;469,9;2
2017-04-03 18:00:00+02:00;Amsterdam-Einsteinweg;NO2;74,1;6
2017-04-03 18:00:00+02:00;Amsterdam-Einsteinweg;FN;3,2;3
2017-04-03 18:00:00+02:00;Amsterdam-Einsteinweg;PM25;19,5;3
2017-04-03 18:00:00+02:00;Amsterdam-Einsteinweg;PM10;30,8;4
2017-04-03 18:00:00+02:00;Amsterdam-Einsteinweg;NO;62,9;4
2017-04-03 18:00:00+02:00;Amsterdam-Einsteinweg;CO;491,8;2
2017-04-03 19:00:00+02:00;Amsterdam-Einsteinweg;NO2;72,2;6
2017-04-03 19:00:00+02:00;Amsterdam-Einsteinweg;FN;3,06;3
2017-04-03 19:00:00+02:00;Amsterdam-Einsteinweg;PM25;23,2;4
2017-04-03 19:00:00+02:00;Amsterdam-Einsteinweg;PM10;23,0;3
2017-04-03 19:00:00+02:00;Amsterdam-Einsteinweg;NO;52,3;4
2017-04-03 19:00:00+02:00;Amsterdam-Einsteinweg;CO;512,3;3
2017-04-03 20:00:00+02:00;Amsterdam-Einsteinweg;NO2;72,9;6
2017-04-03 20:00:00+02:00;Amsterdam-Einsteinweg;FN;2,73;2
2017-04-03 20:00:00+02:00;Amsterdam-Einsteinweg;PM25;21,3;4
2017-04-03 20:00:00+02:00;Amsterdam-Einsteinweg;PM10;24,0;3
2017-04-03 20:00:00+02:00;Amsterdam-Einsteinweg;NO;53,5;4
2017-04-03 20:00:00+02:00;Amsterdam-Einsteinweg;CO;464,9;2
2017-04-03 21:00:00+02:00;Amsterdam-Einsteinweg;NO2;75,3;7
2017-04-03 21:00:00+02:00;Amsterdam-Einsteinweg;FN;3,12;3
2017-04-03 21:00:00+02:00;Amsterdam-Einsteinweg;PM25;13,8;2
2017-04-03 21:00:00+02:00;Amsterdam-Einsteinweg;PM10;26,5;3
2017-04-03 21:00:00+02:00;Amsterdam-Einsteinweg;NO;52,2;4
2017-04-03 21:00:00+02:00;Amsterdam-Einsteinweg;CO;471,6;2
2017-04-03 22:00:00+02:00;Amsterdam-Einsteinweg;NO2;82,3;7
2017-04-03 22:00:00+02:00;Amsterdam-Einsteinweg;FN;4,24;4
2017-04-03 22:00:00+02:00;Amsterdam-Einsteinweg;PM25;21,2;4
2017-04-03 22:00:00+02:00;Amsterdam-Einsteinweg;PM10;30,3;4
2017-04-03 22:00:00+02:00;Amsterdam-Einsteinweg;NO;73,1;4
2017-04-03 22:00:00+02:00;Amsterdam-Einsteinweg;CO;604,2;3
2017-04-03 23:00:00+02:00;Amsterdam-Einsteinweg;NO2;79,6;7
2017-04-03 23:00:00+02:00;Amsterdam-Einsteinweg;FN;4,13;4
2017-04-03 23:00:00+02:00;Amsterdam-Einsteinweg;PM25;24,9;4
2017-04-03 23:00:00+02:00;Amsterdam-Einsteinweg;PM10;44,6;4
2017-04-03 23:00:00+02:00;Amsterdam-Einsteinweg;NO;69,4;4
2017-04-03 23:00:00+02:00;Amsterdam-Einsteinweg;CO;725,1;3
