tijdstip;locatie;component;waarde;LKI
2017-04-03 02:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;14,9;2
2017-04-03 02:00:00+02:00;Amsterdam-Haarlemmerweg;NO;5,2;1
2017-04-03 03:00:00+02:00;Amsterdam-Haarlemmerweg;NO;2,7;1
2017-04-03 03:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;10,6;2
2017-04-03 04:00:00+02:00;Amsterdam-Haarlemmerweg;NO;2,6;1
2017-04-03 04:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;9,2;1
2017-04-03 05:00:00+02:00;Amsterdam-Haarlemmerweg;NO;3,0;1
2017-04-03 05:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;10,0;2
2017-04-03 06:00:00+02:00;Amsterdam-Haarlemmerweg;NO;8,9;1
2017-04-03 06:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;17,3;2
2017-04-03 07:00:00+02:00;Amsterdam-Haarlemmerweg;NO;34,5;3
2017-04-03 07:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;37,5;4
2017-04-03 08:00:00+02:00;Amsterdam-Haarlemmerweg;NO;51,7;4
2017-04-03 08:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;59,0;5
2017-04-03 09:00:00+02:00;Amsterdam-Haarlemmerweg;NO;61,2;4
2017-04-03 09:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;60,8;6
2017-04-03 10:00:00+02:00;Amsterdam-Haarlemmerweg;NO;73,1;4
2017-04-03 10:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;79,2;7
2017-04-03 11:00:00+02:00;Amsterdam-Haarlemmerweg;NO;78,5;4
2017-04-03 11:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;81,6;7
2017-04-03 12:00:00+02:00;Amsterdam-Haarlemmerweg;NO;47,8;3
2017-04-03 12:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;67,5;6
2017-04-03 13:00:00+02:00;Amsterdam-Haarlemmerweg;NO;59,4;4
2017-04-03 13:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;64,3;6
2017-04-03 14:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;62,1;6
2017-04-03 14:00:00+02:00;Amsterdam-Haarlemmerweg;NO;57,8;4
2017-04-03 15:00:00+02:00;Amsterdam-Haarlemmerweg;NO;60,9;4
2017-04-03 15:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;65,7;6
2017-04-03 16:00:00+02:00;Amsterdam-Haarlemmerweg;NO;87,0;4
2017-04-03 16:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;70,0;6
2017-04-03 17:00:00+02:00;Amsterdam-Haarlemmerweg;NO;79,1;4
2017-04-03 17:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;78,7;7
2017-04-03 18:00:00+02:00;Amsterdam-Haarlemmerweg;NO;57,9;4
2017-04-03 18:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;72,1;6
2017-04-03 19:00:00+02:00;Amsterdam-Haarlemmerweg;NO;83,5;4
2017-04-03 19:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;81,0;7
2017-04-03 20:00:00+02:00;Amsterdam-Haarlemmerweg;NO;98,4;4
2017-04-03 20:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;83,3;7
2017-04-03 21:00:00+02:00;Amsterdam-Haarlemmerweg;NO;81,6;4
2017-04-03 21:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;90,6;7
2017-04-03 22:00:00+02:00;Amsterdam-Haarlemmerweg;NO;144,2;5
2017-04-03 22:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;92,4;7
2017-04-03 23:00:00+02:00;Amsterdam-Haarlemmerweg;NO;119,8;5
2017-04-03 23:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;84,8;7
2017-04-04 00:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;78,1;7
2017-04-04 00:00:00+02:00;Amsterdam-Haarlemmerweg;NO;48,4;3
2017-04-04 01:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;62,4;6
2017-04-04 01:00:00+02:00;Amsterdam-Haarlemmerweg;NO;26,7;3
2017-04-04 02:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;51,7;5
2017-04-04 02:00:00+02:00;Amsterdam-Haarlemmerweg;NO;19,8;2
2017-04-04 03:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;50,7;5
2017-04-04 03:00:00+02:00;Amsterdam-Haarlemmerweg;NO;27,1;3
2017-04-04 04:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;43,6;4
2017-04-04 04:00:00+02:00;Amsterdam-Haarlemmerweg;NO;36,6;3
2017-04-04 05:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;46,5;5
2017-04-04 05:00:00+02:00;Amsterdam-Haarlemmerweg;NO;42,6;3
2017-04-04 06:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;68,5;6
2017-04-04 06:00:00+02:00;Amsterdam-Haarlemmerweg;NO;76,6;4
2017-04-04 07:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;77,7;7
2017-04-04 07:00:00+02:00;Amsterdam-Haarlemmerweg;NO;93,3;4
2017-04-04 08:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;91,7;7
2017-04-04 08:00:00+02:00;Amsterdam-Haarlemmerweg;NO;198,0;6
2017-04-04 09:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;104,1;8
2017-04-04 09:00:00+02:00;Amsterdam-Haarlemmerweg;NO;284,9;7
2017-04-04 10:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;96,3;7
2017-04-04 10:00:00+02:00;Amsterdam-Haarlemmerweg;NO;203,3;7
2017-04-04 11:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;98,9;7
2017-04-04 11:00:00+02:00;Amsterdam-Haarlemmerweg;NO;168,0;6
2017-04-04 12:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;93,4;7
2017-04-04 12:00:00+02:00;Amsterdam-Haarlemmerweg;NO;106,3;5
2017-04-04 13:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;69,4;6
2017-04-04 13:00:00+02:00;Amsterdam-Haarlemmerweg;NO;57,8;4
2017-04-04 14:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;72,8;6
2017-04-04 14:00:00+02:00;Amsterdam-Haarlemmerweg;NO;50,1;4
2017-04-04 15:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;70,5;6
2017-04-04 15:00:00+02:00;Amsterdam-Haarlemmerweg;NO;46,6;3
2017-04-04 16:00:00+02:00;Amsterdam-Haarlemmerweg;NO2;59,1;5
2017-04-04 16:00:00+02:00;Amsterdam-Haarlemmerweg;NO;34,2;3
