tijdstip;locatie;component;waarde;LKI
2017-04-03 02:00:00+02:00;Amsterdam -Kantershof;NO2;4,5;1
2017-04-03 02:00:00+02:00;Amsterdam -Kantershof;NO;0,1;1
2017-04-03 03:00:00+02:00;Amsterdam -Kantershof;NO2;3,1;1
2017-04-03 03:00:00+02:00;Amsterdam -Kantershof;NO;0,4;1
2017-04-03 04:00:00+02:00;Amsterdam -Kantershof;NO2;3,0;1
2017-04-03 04:00:00+02:00;Amsterdam -Kantershof;NO;0,4;1
2017-04-03 05:00:00+02:00;Amsterdam -Kantershof;NO2;2,9;1
2017-04-03 05:00:00+02:00;Amsterdam -Kantershof;NO;0,2;1
2017-04-03 06:00:00+02:00;Amsterdam -Kantershof;NO2;4,3;1
2017-04-03 06:00:00+02:00;Amsterdam -Kantershof;NO;0,3;1
2017-04-03 07:00:00+02:00;Amsterdam -Kantershof;NO2;8,5;1
2017-04-03 07:00:00+02:00;Amsterdam -Kantershof;NO;0,3;1
2017-04-03 08:00:00+02:00;Amsterdam -Kantershof;NO2;9,7;1
2017-04-03 08:00:00+02:00;Amsterdam -Kantershof;NO;0,3;1
2017-04-03 09:00:00+02:00;Amsterdam -Kantershof;NO2;14,1;2
2017-04-03 09:00:00+02:00;Amsterdam -Kantershof;NO;0,8;1
2017-04-03 10:00:00+02:00;Amsterdam -Kantershof;NO2;15,2;2
2017-04-03 10:00:00+02:00;Amsterdam -Kantershof;NO;1,3;1
2017-04-03 11:00:00+02:00;Amsterdam -Kantershof;NO2;12,5;2
2017-04-03 11:00:00+02:00;Amsterdam -Kantershof;NO;1,3;1
2017-04-03 12:00:00+02:00;Amsterdam -Kantershof;NO2;13,3;2
2017-04-03 12:00:00+02:00;Amsterdam -Kantershof;NO;1,5;1
2017-04-03 13:00:00+02:00;Amsterdam -Kantershof;NO;1,9;1
2017-04-03 13:00:00+02:00;Amsterdam -Kantershof;NO2;14,6;2
2017-04-03 14:00:00+02:00;Amsterdam -Kantershof;NO2;17,5;2
2017-04-03 14:00:00+02:00;Amsterdam -Kantershof;NO;2,5;1
2017-04-03 15:00:00+02:00;Amsterdam -Kantershof;NO2;16,9;2
2017-04-03 15:00:00+02:00;Amsterdam -Kantershof;NO;2,6;1
2017-04-03 16:00:00+02:00;Amsterdam -Kantershof;NO2;18,3;2
2017-04-03 16:00:00+02:00;Amsterdam -Kantershof;NO;4,3;1
2017-04-03 17:00:00+02:00;Amsterdam -Kantershof;NO2;16,6;2
2017-04-03 17:00:00+02:00;Amsterdam -Kantershof;NO;3,6;1
2017-04-03 18:00:00+02:00;Amsterdam -Kantershof;NO2;17,2;2
2017-04-03 18:00:00+02:00;Amsterdam -Kantershof;NO;3,3;1
2017-04-03 19:00:00+02:00;Amsterdam -Kantershof;NO2;23,7;3
2017-04-03 19:00:00+02:00;Amsterdam -Kantershof;NO;3,4;1
2017-04-03 20:00:00+02:00;Amsterdam -Kantershof;NO2;41,4;4
2017-04-03 20:00:00+02:00;Amsterdam -Kantershof;NO;3,5;1
2017-04-03 21:00:00+02:00;Amsterdam -Kantershof;NO2;52,5;5
2017-04-03 21:00:00+02:00;Amsterdam -Kantershof;NO;2,2;1
2017-04-03 22:00:00+02:00;Amsterdam -Kantershof;NO2;61,2;6
2017-04-03 22:00:00+02:00;Amsterdam -Kantershof;NO;11,2;2
2017-04-03 23:00:00+02:00;Amsterdam -Kantershof;NO2;58,5;5
2017-04-03 23:00:00+02:00;Amsterdam -Kantershof;NO;20,6;2
2017-04-04 00:00:00+02:00;Amsterdam -Kantershof;NO2;51,7;5
2017-04-04 00:00:00+02:00;Amsterdam -Kantershof;NO;12,7;2
2017-04-04 01:00:00+02:00;Amsterdam -Kantershof;NO2;39,2;4
2017-04-04 01:00:00+02:00;Amsterdam -Kantershof;NO;4,2;1
2017-04-04 02:00:00+02:00;Amsterdam -Kantershof;NO2;33,8;4
2017-04-04 02:00:00+02:00;Amsterdam -Kantershof;NO;4,0;1
2017-04-04 03:00:00+02:00;Amsterdam -Kantershof;NO;3,6;1
2017-04-04 03:00:00+02:00;Amsterdam -Kantershof;NO2;32,2;4
2017-04-04 04:00:00+02:00;Amsterdam -Kantershof;NO2;28,5;3
2017-04-04 04:00:00+02:00;Amsterdam -Kantershof;NO;5,3;1
2017-04-04 05:00:00+02:00;Amsterdam -Kantershof;NO2;29,8;3
2017-04-04 05:00:00+02:00;Amsterdam -Kantershof;NO;11,3;2
2017-04-04 06:00:00+02:00;Amsterdam -Kantershof;NO2;34,4;4
2017-04-04 06:00:00+02:00;Amsterdam -Kantershof;NO;12,9;2
2017-04-04 07:00:00+02:00;Amsterdam -Kantershof;NO;17,5;2
2017-04-04 07:00:00+02:00;Amsterdam -Kantershof;NO2;40,0;4
2017-04-04 08:00:00+02:00;Amsterdam -Kantershof;NO;56,7;4
2017-04-04 08:00:00+02:00;Amsterdam -Kantershof;NO2;48,5;5
2017-04-04 09:00:00+02:00;Amsterdam -Kantershof;NO2;54,9;5
2017-04-04 09:00:00+02:00;Amsterdam -Kantershof;NO;44,1;3
2017-04-04 10:00:00+02:00;Amsterdam -Kantershof;NO2;58,1;5
2017-04-04 10:00:00+02:00;Amsterdam -Kantershof;NO;56,8;4
2017-04-04 11:00:00+02:00;Amsterdam -Kantershof;NO2;61,5;6
2017-04-04 11:00:00+02:00;Amsterdam -Kantershof;NO;38,8;3
2017-04-04 12:00:00+02:00;Amsterdam -Kantershof;NO2;55,3;5
2017-04-04 12:00:00+02:00;Amsterdam -Kantershof;NO;21,0;2
2017-04-04 13:00:00+02:00;Amsterdam -Kantershof;NO2;31,9;4
2017-04-04 13:00:00+02:00;Amsterdam -Kantershof;NO;7,2;1
2017-04-04 14:00:00+02:00;Amsterdam -Kantershof;NO;4,1;1
2017-04-04 14:00:00+02:00;Amsterdam -Kantershof;NO2;23,9;3
2017-04-04 15:00:00+02:00;Amsterdam -Kantershof;NO2;25,9;3
2017-04-04 15:00:00+02:00;Amsterdam -Kantershof;NO;3,5;1
2017-04-04 16:00:00+02:00;Amsterdam -Kantershof;NO2;41,8;4
2017-04-04 16:00:00+02:00;Amsterdam -Kantershof;NO;5,3;1
2017-04-04 17:00:00+02:00;Amsterdam -Kantershof;NO2;30,4;4
2017-04-04 17:00:00+02:00;Amsterdam -Kantershof;NO;2,8;1
2017-04-04 18:00:00+02:00;Amsterdam -Kantershof;NO2;30,5;4
2017-04-04 18:00:00+02:00;Amsterdam -Kantershof;NO;3,2;1
2017-04-04 19:00:00+02:00;Amsterdam -Kantershof;NO;2,5;1
2017-04-04 19:00:00+02:00;Amsterdam -Kantershof;NO2;27,0;3
2017-04-04 20:00:00+02:00;Amsterdam -Kantershof;NO2;27,1;3
2017-04-04 20:00:00+02:00;Amsterdam -Kantershof;NO;1,3;1
2017-04-04 21:00:00+02:00;Amsterdam -Kantershof;NO2;27,7;3
2017-04-04 21:00:00+02:00;Amsterdam -Kantershof;NO;0,8;1
2017-04-04 22:00:00+02:00;Amsterdam -Kantershof;NO2;30,1;4
2017-04-04 22:00:00+02:00;Amsterdam -Kantershof;NO;0,7;1
2017-04-04 23:00:00+02:00;Amsterdam -Kantershof;NO2;41,1;4
2017-04-04 23:00:00+02:00;Amsterdam -Kantershof;NO;1,1;1
2017-04-05 00:00:00+02:00;Amsterdam -Kantershof;NO;0,7;1
2017-04-05 00:00:00+02:00;Amsterdam -Kantershof;NO2;28,1;3
2017-04-05 01:00:00+02:00;Amsterdam -Kantershof;NO2;35,1;4
2017-04-05 01:00:00+02:00;Amsterdam -Kantershof;NO;0,8;1
2017-04-05 02:00:00+02:00;Amsterdam -Kantershof;NO2;36,5;4
2017-04-05 02:00:00+02:00;Amsterdam -Kantershof;NO;1,1;1
2017-04-05 03:00:00+02:00;Amsterdam -Kantershof;NO2;37,8;4
2017-04-05 03:00:00+02:00;Amsterdam -Kantershof;NO;0,9;1
2017-04-05 04:00:00+02:00;Amsterdam -Kantershof;NO2;20,3;3
2017-04-05 04:00:00+02:00;Amsterdam -Kantershof;NO;0,6;1
2017-04-05 05:00:00+02:00;Amsterdam -Kantershof;NO2;11,6;2
2017-04-05 05:00:00+02:00;Amsterdam -Kantershof;NO;0,4;1
2017-04-05 06:00:00+02:00;Amsterdam -Kantershof;NO2;9,6;1
2017-04-05 06:00:00+02:00;Amsterdam -Kantershof;NO;0,4;1
2017-04-05 07:00:00+02:00;Amsterdam -Kantershof;NO2;15,4;2
2017-04-05 07:00:00+02:00;Amsterdam -Kantershof;NO;0,4;1
2017-04-05 08:00:00+02:00;Amsterdam -Kantershof;NO2;21,4;3
2017-04-05 08:00:00+02:00;Amsterdam -Kantershof;NO;0,7;1
