tijdstip;locatie;component;waarde;LKI
2017-04-03 02:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;3,2;1
2017-04-03 02:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,2;1
2017-04-03 02:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;79,5;5
2017-04-03 03:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;3,0;1
2017-04-03 03:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,17;1
2017-04-03 03:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;78,4;5
2017-04-03 03:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;0,1;1
2017-04-03 04:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;4,3;1
2017-04-03 04:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,18;1
2017-04-03 04:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;81,4;6
2017-04-03 04:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;0,0;1
2017-04-03 05:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;3,8;1
2017-04-03 05:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,18;1
2017-04-03 05:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;77,3;5
2017-04-03 05:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;0,5;1
2017-04-03 06:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;3,9;1
2017-04-03 06:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,17;1
2017-04-03 06:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;76,2;5
2017-04-03 06:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;0,0;1
2017-04-03 07:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;5,6;1
2017-04-03 07:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,18;1
2017-04-03 07:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;73,7;5
2017-04-03 07:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;0,1;1
2017-04-03 08:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;14,7;2
2017-04-03 08:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,3;1
2017-04-03 08:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;63,7;5
2017-04-03 08:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;0,2;1
2017-04-03 09:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;14,8;2
2017-04-03 09:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,3;1
2017-04-03 09:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;66,6;5
2017-04-03 09:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;0,9;1
2017-04-03 10:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;0,5;1
2017-04-03 10:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;14,4;2
2017-04-03 10:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,4;1
2017-04-03 10:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;63,9;5
2017-04-03 11:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;12,7;2
2017-04-03 11:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,39;1
2017-04-03 11:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;65,4;5
2017-04-03 11:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;0,7;1
2017-04-03 12:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;19,7;2
2017-04-03 12:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,5;1
2017-04-03 12:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;56,8;4
2017-04-03 12:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;2,2;1
2017-04-03 13:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;17,6;2
2017-04-03 13:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,49;1
2017-04-03 13:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;59,3;4
2017-04-03 13:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;2,0;1
2017-04-03 14:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;51,7;4
2017-04-03 14:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;19,8;2
2017-04-03 14:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,59;1
2017-04-03 14:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;3,0;1
2017-04-03 15:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;23,3;3
2017-04-03 15:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,74;1
2017-04-03 15:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;48,2;4
2017-04-03 15:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;4,5;1
2017-04-03 16:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;23,6;3
2017-04-03 16:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,84;1
2017-04-03 16:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;50,0;4
2017-04-03 16:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;6,1;1
2017-04-03 17:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;25,9;3
2017-04-03 17:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,89;1
2017-04-03 17:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;50,5;4
2017-04-03 17:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;7,5;1
2017-04-03 18:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;30,6;4
2017-04-03 18:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;0,94;1
2017-04-03 18:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;49,5;4
2017-04-03 18:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;6,9;1
2017-04-03 19:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;39,1;4
2017-04-03 19:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;1,09;2
2017-04-03 19:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;38,3;3
2017-04-03 19:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;7,0;1
2017-04-03 20:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;39,1;4
2017-04-03 20:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;2,27;2
2017-04-03 20:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;33,2;3
2017-04-03 20:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;3,5;1
2017-04-03 21:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;1,79;2
2017-04-03 21:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;38,6;4
2017-04-03 21:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;25,4;2
2017-04-03 21:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;0,7;1
2017-04-03 22:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;43,5;4
2017-04-03 22:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;1,59;2
2017-04-03 22:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;18,1;2
2017-04-03 22:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;0,8;1
2017-04-03 23:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;33,6;4
2017-04-03 23:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;1,13;2
2017-04-03 23:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;18,5;2
2017-04-03 23:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;1,4;1
2017-04-04 00:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;1,2;1
2017-04-04 00:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;1,39;2
2017-04-04 00:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;13,0;1
2017-04-04 00:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;39,5;4
2017-04-04 01:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;1,23;2
2017-04-04 01:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO;1,7;1
2017-04-04 01:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;7,9;1
2017-04-04 01:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;43,2;4
2017-04-04 02:00:00+02:00;Amsterdam-Nieuwendammerdijk;NO2;40,0;4
2017-04-04 02:00:00+02:00;Amsterdam-Nieuwendammerdijk;FN;1,13;2
2017-04-04 02:00:00+02:00;Amsterdam-Nieuwendammerdijk;O3;5,5;1
