tijdstip;locatie;component;waarde;LKI
2017-04-03 02:00:00+02:00;Amsterdam-Ookmeer;NO2;14,8;2
2017-04-03 03:00:00+02:00;Amsterdam-Ookmeer;NO2;8,0;1
2017-04-03 03:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-03 04:00:00+02:00;Amsterdam-Ookmeer;NO2;12,8;2
2017-04-03 04:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-03 05:00:00+02:00;Amsterdam-Ookmeer;NO2;9,4;1
2017-04-03 05:00:00+02:00;Amsterdam-Ookmeer;NO;0,0;1
2017-04-03 06:00:00+02:00;Amsterdam-Ookmeer;NO2;9,0;1
2017-04-03 06:00:00+02:00;Amsterdam-Ookmeer;NO;0,1;1
2017-04-03 07:00:00+02:00;Amsterdam-Ookmeer;NO;0,2;1
2017-04-03 07:00:00+02:00;Amsterdam-Ookmeer;NO2;10,3;2
2017-04-03 08:00:00+02:00;Amsterdam-Ookmeer;NO2;10,8;2
2017-04-03 08:00:00+02:00;Amsterdam-Ookmeer;NO;0,1;1
2017-04-03 09:00:00+02:00;Amsterdam-Ookmeer;NO2;19,1;2
2017-04-03 09:00:00+02:00;Amsterdam-Ookmeer;NO;1,0;1
2017-04-03 10:00:00+02:00;Amsterdam-Ookmeer;NO2;27,9;3
2017-04-03 10:00:00+02:00;Amsterdam-Ookmeer;NO;1,7;1
2017-04-03 11:00:00+02:00;Amsterdam-Ookmeer;NO2;23,8;3
2017-04-03 11:00:00+02:00;Amsterdam-Ookmeer;NO;2,4;1
2017-04-03 12:00:00+02:00;Amsterdam-Ookmeer;NO2;21,8;3
2017-04-03 12:00:00+02:00;Amsterdam-Ookmeer;NO;2,8;1
2017-04-03 13:00:00+02:00;Amsterdam-Ookmeer;NO2;19,7;2
2017-04-03 13:00:00+02:00;Amsterdam-Ookmeer;NO;2,8;1
2017-04-03 14:00:00+02:00;Amsterdam-Ookmeer;NO;3,7;1
2017-04-03 14:00:00+02:00;Amsterdam-Ookmeer;NO2;20,1;3
2017-04-03 15:00:00+02:00;Amsterdam-Ookmeer;NO2;22,9;3
2017-04-03 15:00:00+02:00;Amsterdam-Ookmeer;NO;4,5;1
2017-04-03 16:00:00+02:00;Amsterdam-Ookmeer;NO2;26,4;3
2017-04-03 16:00:00+02:00;Amsterdam-Ookmeer;NO;6,4;1
2017-04-03 17:00:00+02:00;Amsterdam-Ookmeer;NO2;30,6;4
2017-04-03 17:00:00+02:00;Amsterdam-Ookmeer;NO;9,6;1
2017-04-03 18:00:00+02:00;Amsterdam-Ookmeer;NO2;29,1;3
2017-04-03 18:00:00+02:00;Amsterdam-Ookmeer;NO;7,2;1
2017-04-03 19:00:00+02:00;Amsterdam-Ookmeer;NO2;29,8;3
2017-04-03 19:00:00+02:00;Amsterdam-Ookmeer;NO;5,0;1
2017-04-03 20:00:00+02:00;Amsterdam-Ookmeer;NO2;35,6;4
2017-04-03 20:00:00+02:00;Amsterdam-Ookmeer;NO;2,4;1
2017-04-03 21:00:00+02:00;Amsterdam-Ookmeer;NO2;39,4;4
2017-04-03 21:00:00+02:00;Amsterdam-Ookmeer;NO;0,9;1
2017-04-03 22:00:00+02:00;Amsterdam-Ookmeer;NO2;49,3;5
2017-04-03 22:00:00+02:00;Amsterdam-Ookmeer;NO;4,0;1
2017-04-03 23:00:00+02:00;Amsterdam-Ookmeer;NO2;60,8;6
2017-04-03 23:00:00+02:00;Amsterdam-Ookmeer;NO;11,6;2
2017-04-04 00:00:00+02:00;Amsterdam-Ookmeer;NO;19,8;2
2017-04-04 00:00:00+02:00;Amsterdam-Ookmeer;NO2;61,1;6
2017-04-04 01:00:00+02:00;Amsterdam-Ookmeer;NO2;64,0;6
2017-04-04 01:00:00+02:00;Amsterdam-Ookmeer;NO;20,3;2
2017-04-04 02:00:00+02:00;Amsterdam-Ookmeer;NO2;54,6;5
2017-04-04 02:00:00+02:00;Amsterdam-Ookmeer;NO;12,7;2
2017-04-04 03:00:00+02:00;Amsterdam-Ookmeer;NO2;39,7;4
2017-04-04 03:00:00+02:00;Amsterdam-Ookmeer;NO;1,9;1
2017-04-04 04:00:00+02:00;Amsterdam-Ookmeer;NO2;29,7;3
2017-04-04 04:00:00+02:00;Amsterdam-Ookmeer;NO;0,9;1
2017-04-04 05:00:00+02:00;Amsterdam-Ookmeer;NO2;29,4;3
