tijdstip;locatie;component;waarde;LKI
2017-04-03 02:00:00+02:00;Amsterdam-Oude Schans;NO2;7,0;1
2017-04-03 02:00:00+02:00;Amsterdam-Oude Schans;NO;0,3;1
2017-04-03 03:00:00+02:00;Amsterdam-Oude Schans;NO2;6,9;1
2017-04-03 03:00:00+02:00;Amsterdam-Oude Schans;NO;0,2;1
2017-04-03 04:00:00+02:00;Amsterdam-Oude Schans;NO2;5,9;1
2017-04-03 04:00:00+02:00;Amsterdam-Oude Schans;NO;0,3;1
2017-04-03 05:00:00+02:00;Amsterdam-Oude Schans;NO2;8,6;1
2017-04-03 05:00:00+02:00;Amsterdam-Oude Schans;NO;0,3;1
2017-04-03 06:00:00+02:00;Amsterdam-Oude Schans;NO2;7,8;1
2017-04-03 06:00:00+02:00;Amsterdam-Oude Schans;NO;0,4;1
2017-04-03 07:00:00+02:00;Amsterdam-Oude Schans;NO2;14,5;2
2017-04-03 07:00:00+02:00;Amsterdam-Oude Schans;NO;0,3;1
2017-04-03 08:00:00+02:00;Amsterdam-Oude Schans;NO2;23,0;3
2017-04-03 08:00:00+02:00;Amsterdam-Oude Schans;NO;1,0;1
2017-04-03 09:00:00+02:00;Amsterdam-Oude Schans;NO2;21,6;3
2017-04-03 09:00:00+02:00;Amsterdam-Oude Schans;NO;1,7;1
2017-04-03 10:00:00+02:00;Amsterdam-Oude Schans;NO2;37,3;4
2017-04-03 10:00:00+02:00;Amsterdam-Oude Schans;NO;4,6;1
2017-04-03 11:00:00+02:00;Amsterdam-Oude Schans;NO2;33,7;4
2017-04-03 11:00:00+02:00;Amsterdam-Oude Schans;NO;5,1;1
2017-04-03 12:00:00+02:00;Amsterdam-Oude Schans;NO2;34,2;4
2017-04-03 12:00:00+02:00;Amsterdam-Oude Schans;NO;7,6;1
2017-04-03 13:00:00+02:00;Amsterdam-Oude Schans;NO2;31,5;4
2017-04-03 13:00:00+02:00;Amsterdam-Oude Schans;NO;5,8;1
2017-04-03 14:00:00+02:00;Amsterdam-Oude Schans;NO2;25,6;3
2017-04-03 14:00:00+02:00;Amsterdam-Oude Schans;NO;4,6;1
2017-04-03 15:00:00+02:00;Amsterdam-Oude Schans;NO2;30,2;4
2017-04-03 15:00:00+02:00;Amsterdam-Oude Schans;NO;6,5;1
2017-04-03 16:00:00+02:00;Amsterdam-Oude Schans;NO2;33,2;4
2017-04-03 16:00:00+02:00;Amsterdam-Oude Schans;NO;8,7;1
2017-04-03 17:00:00+02:00;Amsterdam-Oude Schans;NO2;34,7;4
2017-04-03 17:00:00+02:00;Amsterdam-Oude Schans;NO;9,4;1
2017-04-03 18:00:00+02:00;Amsterdam-Oude Schans;NO2;35,3;4
2017-04-03 18:00:00+02:00;Amsterdam-Oude Schans;NO;7,1;1
2017-04-03 19:00:00+02:00;Amsterdam-Oude Schans;NO2;48,6;5
2017-04-03 19:00:00+02:00;Amsterdam-Oude Schans;NO;8,9;1
2017-04-03 20:00:00+02:00;Amsterdam-Oude Schans;NO2;52,9;5
2017-04-03 20:00:00+02:00;Amsterdam-Oude Schans;NO;6,7;1
2017-04-03 21:00:00+02:00;Amsterdam-Oude Schans;NO2;40,3;4
2017-04-03 21:00:00+02:00;Amsterdam-Oude Schans;NO;3,0;1
2017-04-03 22:00:00+02:00;Amsterdam-Oude Schans;NO2;75,8;7
2017-04-03 22:00:00+02:00;Amsterdam-Oude Schans;NO;17,9;2
2017-04-03 23:00:00+02:00;Amsterdam-Oude Schans;NO2;74,9;6
2017-04-03 23:00:00+02:00;Amsterdam-Oude Schans;NO;19,9;2
2017-04-04 00:00:00+02:00;Amsterdam-Oude Schans;NO;9,1;1
2017-04-04 00:00:00+02:00;Amsterdam-Oude Schans;NO2;67,8;6
2017-04-04 01:00:00+02:00;Amsterdam-Oude Schans;NO2;51,9;5
2017-04-04 01:00:00+02:00;Amsterdam-Oude Schans;NO;2,5;1
2017-04-04 02:00:00+02:00;Amsterdam-Oude Schans;NO2;36,4;4
2017-04-04 02:00:00+02:00;Amsterdam-Oude Schans;NO;1,5;1
2017-04-04 03:00:00+02:00;Amsterdam-Oude Schans;NO2;40,0;4
2017-04-04 03:00:00+02:00;Amsterdam-Oude Schans;NO;1,9;1
2017-04-04 04:00:00+02:00;Amsterdam-Oude Schans;NO2;40,1;4
2017-04-04 04:00:00+02:00;Amsterdam-Oude Schans;NO;2,1;1
2017-04-04 05:00:00+02:00;Amsterdam-Oude Schans;NO2;40,2;4
2017-04-04 05:00:00+02:00;Amsterdam-Oude Schans;NO;1,9;1
2017-04-04 06:00:00+02:00;Amsterdam-Oude Schans;NO2;49,6;5
2017-04-04 06:00:00+02:00;Amsterdam-Oude Schans;NO;3,4;1
2017-04-04 07:00:00+02:00;Amsterdam-Oude Schans;NO2;54,9;5
2017-04-04 07:00:00+02:00;Amsterdam-Oude Schans;NO;8,6;1
2017-04-04 08:00:00+02:00;Amsterdam-Oude Schans;NO2;66,6;6
2017-04-04 08:00:00+02:00;Amsterdam-Oude Schans;NO;46,9;3
2017-04-04 09:00:00+02:00;Amsterdam-Oude Schans;NO2;69,2;6
2017-04-04 09:00:00+02:00;Amsterdam-Oude Schans;NO;68,8;4
2017-04-04 10:00:00+02:00;Amsterdam-Oude Schans;NO2;69,8;6
2017-04-04 10:00:00+02:00;Amsterdam-Oude Schans;NO;63,0;4
2017-04-04 11:00:00+02:00;Amsterdam-Oude Schans;NO2;75,4;7
2017-04-04 11:00:00+02:00;Amsterdam-Oude Schans;NO;33,1;3
2017-04-04 12:00:00+02:00;Amsterdam-Oude Schans;NO2;66,5;6
2017-04-04 12:00:00+02:00;Amsterdam-Oude Schans;NO;26,2;3
2017-04-04 13:00:00+02:00;Amsterdam-Oude Schans;NO2;47,1;5
2017-04-04 13:00:00+02:00;Amsterdam-Oude Schans;NO;12,0;2
2017-04-04 14:00:00+02:00;Amsterdam-Oude Schans;NO2;46,6;5
2017-04-04 14:00:00+02:00;Amsterdam-Oude Schans;NO;7,9;1
2017-04-04 15:00:00+02:00;Amsterdam-Oude Schans;NO2;61,8;6
2017-04-04 15:00:00+02:00;Amsterdam-Oude Schans;NO;13,0;2
2017-04-04 16:00:00+02:00;Amsterdam-Oude Schans;NO2;50,1;5
2017-04-04 16:00:00+02:00;Amsterdam-Oude Schans;NO;9,4;1
2017-04-04 17:00:00+02:00;Amsterdam-Oude Schans;NO2;44,2;4
2017-04-04 17:00:00+02:00;Amsterdam-Oude Schans;NO;6,1;1
2017-04-04 18:00:00+02:00;Amsterdam-Oude Schans;NO2;27,5;3
2017-04-04 18:00:00+02:00;Amsterdam-Oude Schans;NO;3,4;1
2017-04-04 19:00:00+02:00;Amsterdam-Oude Schans;NO2;39,3;4
2017-04-04 19:00:00+02:00;Amsterdam-Oude Schans;NO;5,3;1
2017-04-04 20:00:00+02:00;Amsterdam-Oude Schans;NO2;45,4;5
2017-04-04 20:00:00+02:00;Amsterdam-Oude Schans;NO;4,1;1
2017-04-04 21:00:00+02:00;Amsterdam-Oude Schans;NO2;52,5;5
2017-04-04 21:00:00+02:00;Amsterdam-Oude Schans;NO;3,9;1
2017-04-04 22:00:00+02:00;Amsterdam-Oude Schans;NO2;86,1;7
2017-04-04 22:00:00+02:00;Amsterdam-Oude Schans;NO;8,7;1
2017-04-04 23:00:00+02:00;Amsterdam-Oude Schans;NO2;75,9;7
2017-04-04 23:00:00+02:00;Amsterdam-Oude Schans;NO;10,8;2
2017-04-05 00:00:00+02:00;Amsterdam-Oude Schans;NO;3,8;1
2017-04-05 00:00:00+02:00;Amsterdam-Oude Schans;NO2;52,3;5
2017-04-05 01:00:00+02:00;Amsterdam-Oude Schans;NO2;49,7;5
2017-04-05 01:00:00+02:00;Amsterdam-Oude Schans;NO;5,1;1
2017-04-05 02:00:00+02:00;Amsterdam-Oude Schans;NO2;52,1;5
2017-04-05 02:00:00+02:00;Amsterdam-Oude Schans;NO;6,6;1
2017-04-05 03:00:00+02:00;Amsterdam-Oude Schans;NO2;42,5;4
2017-04-05 03:00:00+02:00;Amsterdam-Oude Schans;NO;3,5;1
2017-04-05 04:00:00+02:00;Amsterdam-Oude Schans;NO2;27,1;3
2017-04-05 04:00:00+02:00;Amsterdam-Oude Schans;NO;2,5;1
2017-04-05 05:00:00+02:00;Amsterdam-Oude Schans;NO2;24,8;3
2017-04-05 05:00:00+02:00;Amsterdam-Oude Schans;NO;2,3;1
2017-04-05 06:00:00+02:00;Amsterdam-Oude Schans;NO2;13,5;2
2017-04-05 06:00:00+02:00;Amsterdam-Oude Schans;NO;1,9;1
2017-04-05 07:00:00+02:00;Amsterdam-Oude Schans;NO2;25,3;3
2017-04-05 07:00:00+02:00;Amsterdam-Oude Schans;NO;2,0;1
2017-04-05 08:00:00+02:00;Amsterdam-Oude Schans;NO2;42,2;4
2017-04-05 08:00:00+02:00;Amsterdam-Oude Schans;NO;4,1;1
2017-04-05 09:00:00+02:00;Amsterdam-Oude Schans;NO2;53,9;5
2017-04-05 09:00:00+02:00;Amsterdam-Oude Schans;NO;8,3;1
2017-04-05 10:00:00+02:00;Amsterdam-Oude Schans;NO2;37,6;4
2017-04-05 10:00:00+02:00;Amsterdam-Oude Schans;NO;6,5;1
2017-04-05 11:00:00+02:00;Amsterdam-Oude Schans;NO2;27,9;3
2017-04-05 11:00:00+02:00;Amsterdam-Oude Schans;NO;5,5;1
2017-04-05 12:00:00+02:00;Amsterdam-Oude Schans;NO2;23,2;3
2017-04-05 12:00:00+02:00;Amsterdam-Oude Schans;NO;4,1;1
2017-04-05 13:00:00+02:00;Amsterdam-Oude Schans;NO2;19,9;2
2017-04-05 13:00:00+02:00;Amsterdam-Oude Schans;NO;3,7;1
2017-04-05 14:00:00+02:00;Amsterdam-Oude Schans;NO2;17,0;2
2017-04-05 14:00:00+02:00;Amsterdam-Oude Schans;NO;2,9;1
2017-04-05 15:00:00+02:00;Amsterdam-Oude Schans;NO2;15,6;2
2017-04-05 15:00:00+02:00;Amsterdam-Oude Schans;NO;2,6;1
2017-04-05 16:00:00+02:00;Amsterdam-Oude Schans;NO2;17,2;2
2017-04-05 16:00:00+02:00;Amsterdam-Oude Schans;NO;2,3;1
2017-04-05 17:00:00+02:00;Amsterdam-Oude Schans;NO;2,8;1
2017-04-05 17:00:00+02:00;Amsterdam-Oude Schans;NO2;18,9;2
2017-04-05 18:00:00+02:00;Amsterdam-Oude Schans;NO2;19,4;2
2017-04-05 18:00:00+02:00;Amsterdam-Oude Schans;NO;2,5;1
2017-04-05 19:00:00+02:00;Amsterdam-Oude Schans;NO2;20,6;3
2017-04-05 19:00:00+02:00;Amsterdam-Oude Schans;NO;2,2;1
2017-04-05 20:00:00+02:00;Amsterdam-Oude Schans;NO2;22,5;3
2017-04-05 20:00:00+02:00;Amsterdam-Oude Schans;NO;1,9;1
2017-04-05 21:00:00+02:00;Amsterdam-Oude Schans;NO2;30,5;4
2017-04-05 21:00:00+02:00;Amsterdam-Oude Schans;NO;2,5;1
2017-04-05 22:00:00+02:00;Amsterdam-Oude Schans;NO2;27,0;3
2017-04-05 22:00:00+02:00;Amsterdam-Oude Schans;NO;2,1;1
2017-04-05 23:00:00+02:00;Amsterdam-Oude Schans;NO2;28,5;3
2017-04-05 23:00:00+02:00;Amsterdam-Oude Schans;NO;1,8;1
2017-04-06 00:00:00+02:00;Amsterdam-Oude Schans;NO;1,7;1
2017-04-06 00:00:00+02:00;Amsterdam-Oude Schans;NO2;26,1;3
2017-04-06 01:00:00+02:00;Amsterdam-Oude Schans;NO2;21,8;3
2017-04-06 01:00:00+02:00;Amsterdam-Oude Schans;NO;1,4;1
2017-04-06 02:00:00+02:00;Amsterdam-Oude Schans;NO2;21,2;3
2017-04-06 02:00:00+02:00;Amsterdam-Oude Schans;NO;1,4;1
2017-04-06 03:00:00+02:00;Amsterdam-Oude Schans;NO2;12,5;2
2017-04-06 03:00:00+02:00;Amsterdam-Oude Schans;NO;0,9;1
2017-04-06 04:00:00+02:00;Amsterdam-Oude Schans;NO2;16,1;2
2017-04-06 04:00:00+02:00;Amsterdam-Oude Schans;NO;1,3;1
2017-04-06 05:00:00+02:00;Amsterdam-Oude Schans;NO2;15,6;2
2017-04-06 05:00:00+02:00;Amsterdam-Oude Schans;NO;1,6;1
2017-04-06 06:00:00+02:00;Amsterdam-Oude Schans;NO2;26,2;3
2017-04-06 06:00:00+02:00;Amsterdam-Oude Schans;NO;1,5;1
2017-04-06 07:00:00+02:00;Amsterdam-Oude Schans;NO2;36,4;4
2017-04-06 07:00:00+02:00;Amsterdam-Oude Schans;NO;2,1;1
2017-04-06 08:00:00+02:00;Amsterdam-Oude Schans;NO2;39,5;4
2017-04-06 08:00:00+02:00;Amsterdam-Oude Schans;NO;3,1;1
2017-04-06 09:00:00+02:00;Amsterdam-Oude Schans;NO2;42,1;4
2017-04-06 09:00:00+02:00;Amsterdam-Oude Schans;NO;6,5;1
2017-04-06 10:00:00+02:00;Amsterdam-Oude Schans;NO2;30,6;4
2017-04-06 10:00:00+02:00;Amsterdam-Oude Schans;NO;5,3;1
2017-04-06 11:00:00+02:00;Amsterdam-Oude Schans;NO2;28,8;3
2017-04-06 11:00:00+02:00;Amsterdam-Oude Schans;NO;4,4;1
2017-04-06 12:00:00+02:00;Amsterdam-Oude Schans;NO2;21,2;3
2017-04-06 12:00:00+02:00;Amsterdam-Oude Schans;NO;2,8;1
2017-04-06 13:00:00+02:00;Amsterdam-Oude Schans;NO2;20,5;3
2017-04-06 13:00:00+02:00;Amsterdam-Oude Schans;NO;2,9;1
2017-04-06 14:00:00+02:00;Amsterdam-Oude Schans;NO2;19,5;2
2017-04-06 14:00:00+02:00;Amsterdam-Oude Schans;NO;3,0;1
