tijdstip;locatie;component;waarde;LKI
2017-04-03 02:00:00+02:00;Amsterdam-Stadhouderskade;PM25;4,3;1
2017-04-03 02:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,17;1
2017-04-03 02:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;0,53;1
2017-04-03 02:00:00+02:00;Amsterdam-Stadhouderskade;NO2;11,6;2
2017-04-03 02:00:00+02:00;Amsterdam-Stadhouderskade;PM10;15,2;2
2017-04-03 02:00:00+02:00;Amsterdam-Stadhouderskade;FN;0,57;1
2017-04-03 02:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,49;1
2017-04-03 02:00:00+02:00;Amsterdam-Stadhouderskade;NO;3,9;1
2017-04-03 03:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,21;1
2017-04-03 03:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;0,47;1
2017-04-03 03:00:00+02:00;Amsterdam-Stadhouderskade;NO2;9,7;1
2017-04-03 03:00:00+02:00;Amsterdam-Stadhouderskade;PM25;3,6;1
2017-04-03 03:00:00+02:00;Amsterdam-Stadhouderskade;PM10;10,3;2
2017-04-03 03:00:00+02:00;Amsterdam-Stadhouderskade;FN;0,53;1
2017-04-03 03:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,46;1
2017-04-03 03:00:00+02:00;Amsterdam-Stadhouderskade;NO;2,7;1
2017-04-03 04:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,11;1
2017-04-03 04:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;0,19;1
2017-04-03 04:00:00+02:00;Amsterdam-Stadhouderskade;NO2;7,8;1
2017-04-03 04:00:00+02:00;Amsterdam-Stadhouderskade;PM25;4,4;1
2017-04-03 04:00:00+02:00;Amsterdam-Stadhouderskade;PM10;10,0;2
2017-04-03 04:00:00+02:00;Amsterdam-Stadhouderskade;FN;0,44;1
2017-04-03 04:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,37;1
2017-04-03 04:00:00+02:00;Amsterdam-Stadhouderskade;NO;1,6;1
2017-04-03 05:00:00+02:00;Amsterdam-Stadhouderskade;FN;0,29;1
2017-04-03 05:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,13;1
2017-04-03 05:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;0,49;1
2017-04-03 05:00:00+02:00;Amsterdam-Stadhouderskade;NO2;8,9;1
2017-04-03 05:00:00+02:00;Amsterdam-Stadhouderskade;PM25;6,8;1
2017-04-03 05:00:00+02:00;Amsterdam-Stadhouderskade;PM10;13,7;2
2017-04-03 05:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,45;1
2017-04-03 05:00:00+02:00;Amsterdam-Stadhouderskade;NO;2,2;1
2017-04-03 06:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,07;1
2017-04-03 06:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;0,27;1
2017-04-03 06:00:00+02:00;Amsterdam-Stadhouderskade;NO2;10,6;2
2017-04-03 06:00:00+02:00;Amsterdam-Stadhouderskade;PM25;7,2;1
2017-04-03 06:00:00+02:00;Amsterdam-Stadhouderskade;PM10;15,0;2
2017-04-03 06:00:00+02:00;Amsterdam-Stadhouderskade;FN;0,65;1
2017-04-03 06:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,38;1
2017-04-03 06:00:00+02:00;Amsterdam-Stadhouderskade;NO;1,5;1
2017-04-03 07:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,06;1
2017-04-03 07:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;0,27;1
2017-04-03 07:00:00+02:00;Amsterdam-Stadhouderskade;NO2;20,9;3
2017-04-03 07:00:00+02:00;Amsterdam-Stadhouderskade;PM25;5,2;1
2017-04-03 07:00:00+02:00;Amsterdam-Stadhouderskade;PM10;7,7;1
2017-04-03 07:00:00+02:00;Amsterdam-Stadhouderskade;FN;0,62;1
2017-04-03 07:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,4;1
2017-04-03 07:00:00+02:00;Amsterdam-Stadhouderskade;NO;4,9;1
2017-04-03 08:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,12;1
2017-04-03 08:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;0,35;1
2017-04-03 08:00:00+02:00;Amsterdam-Stadhouderskade;NO2;29,4;3
2017-04-03 08:00:00+02:00;Amsterdam-Stadhouderskade;PM25;5,5;1
2017-04-03 08:00:00+02:00;Amsterdam-Stadhouderskade;PM10;14,5;2
2017-04-03 08:00:00+02:00;Amsterdam-Stadhouderskade;FN;0,79;1
2017-04-03 08:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,42;1
2017-04-03 08:00:00+02:00;Amsterdam-Stadhouderskade;NO;6,9;1
2017-04-03 09:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,47;1
2017-04-03 09:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;1,49;1
2017-04-03 09:00:00+02:00;Amsterdam-Stadhouderskade;NO2;43,2;4
2017-04-03 09:00:00+02:00;Amsterdam-Stadhouderskade;PM25;6,4;1
2017-04-03 09:00:00+02:00;Amsterdam-Stadhouderskade;PM10;11,6;2
2017-04-03 09:00:00+02:00;Amsterdam-Stadhouderskade;FN;1,42;2
2017-04-03 09:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,71;1
2017-04-03 09:00:00+02:00;Amsterdam-Stadhouderskade;NO;14,4;2
2017-04-03 10:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,59;1
2017-04-03 10:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;1,76;1
2017-04-03 10:00:00+02:00;Amsterdam-Stadhouderskade;NO2;34,2;4
2017-04-03 10:00:00+02:00;Amsterdam-Stadhouderskade;PM25;8,9;1
2017-04-03 10:00:00+02:00;Amsterdam-Stadhouderskade;PM10;14,7;2
2017-04-03 10:00:00+02:00;Amsterdam-Stadhouderskade;FN;0,82;1
2017-04-03 10:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,78;1
2017-04-03 10:00:00+02:00;Amsterdam-Stadhouderskade;NO;5,3;1
2017-04-03 11:00:00+02:00;Amsterdam-Stadhouderskade;PM10;18,7;2
2017-04-03 11:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,44;1
2017-04-03 11:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;1,39;1
2017-04-03 11:00:00+02:00;Amsterdam-Stadhouderskade;NO2;31,6;4
2017-04-03 11:00:00+02:00;Amsterdam-Stadhouderskade;PM25;10,5;2
2017-04-03 11:00:00+02:00;Amsterdam-Stadhouderskade;FN;0,83;1
2017-04-03 11:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,71;1
2017-04-03 11:00:00+02:00;Amsterdam-Stadhouderskade;NO;7,2;1
2017-04-03 12:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,3;1
2017-04-03 12:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;0,99;1
2017-04-03 12:00:00+02:00;Amsterdam-Stadhouderskade;NO2;34,5;4
2017-04-03 12:00:00+02:00;Amsterdam-Stadhouderskade;PM25;10,8;2
2017-04-03 12:00:00+02:00;Amsterdam-Stadhouderskade;PM10;13,0;2
2017-04-03 12:00:00+02:00;Amsterdam-Stadhouderskade;FN;0,96;1
2017-04-03 12:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,63;1
2017-04-03 12:00:00+02:00;Amsterdam-Stadhouderskade;NO;13,1;2
2017-04-03 13:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,6;1
2017-04-03 13:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;1,66;1
2017-04-03 13:00:00+02:00;Amsterdam-Stadhouderskade;NO2;35,0;4
2017-04-03 13:00:00+02:00;Amsterdam-Stadhouderskade;PM25;13,4;2
2017-04-03 13:00:00+02:00;Amsterdam-Stadhouderskade;PM10;13,4;2
2017-04-03 13:00:00+02:00;Amsterdam-Stadhouderskade;FN;1,02;2
2017-04-03 13:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,74;1
2017-04-03 13:00:00+02:00;Amsterdam-Stadhouderskade;NO;16,2;2
2017-04-03 14:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,53;1
2017-04-03 14:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;2,04;2
2017-04-03 14:00:00+02:00;Amsterdam-Stadhouderskade;NO2;27,4;3
2017-04-03 14:00:00+02:00;Amsterdam-Stadhouderskade;PM25;13,1;2
2017-04-03 14:00:00+02:00;Amsterdam-Stadhouderskade;PM10;18,7;2
2017-04-03 14:00:00+02:00;Amsterdam-Stadhouderskade;FN;0,8;1
2017-04-03 14:00:00+02:00;Amsterdam-Stadhouderskade;C6H6;0,86;1
2017-04-03 14:00:00+02:00;Amsterdam-Stadhouderskade;NO;9,5;1
2017-04-03 15:00:00+02:00;Amsterdam-Stadhouderskade;C8H10;0,44;1
2017-04-03 15:00:00+02:00;Amsterdam-Stadhouderskade;C7H8;1,1;1
2017-04-03 15:00:00+02:00;Amsterdam-Stadhouderskade;NO2;37,9;4
2017-04-03 15:00:00+02:00;Amsterdam-Stadhouderskade;PM25;17,7;3
2017-04-03 15:00:00+02:00;Amsterdam-Stadhouderskade;PM10;22,8;3
2017-04-03 15:00:00+02:00;Amsterdam-Stadhouderskade;FN;1,31;2
