tijdstip;locatie;component;waarde;LKI
2017-04-03 02:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;11,5;2
2017-04-03 02:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;13,9;2
2017-04-03 02:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;10,4;2
2017-04-03 02:00:00+02:00;Amsterdam-Van Diemenstraat;FN;0,7;1
2017-04-03 02:00:00+02:00;Amsterdam-Van Diemenstraat;O3;72,9;5
2017-04-03 02:00:00+02:00;Amsterdam-Van Diemenstraat;NO;1,1;1
2017-04-03 02:00:00+02:00;Amsterdam-Van Diemenstraat;CO;237,0;1
2017-04-03 03:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;6,9;1
2017-04-03 03:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;12,6;2
2017-04-03 03:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;9,8;1
2017-04-03 03:00:00+02:00;Amsterdam-Van Diemenstraat;FN;0,29;1
2017-04-03 03:00:00+02:00;Amsterdam-Van Diemenstraat;O3;74,2;5
2017-04-03 03:00:00+02:00;Amsterdam-Van Diemenstraat;NO;0,6;1
2017-04-03 03:00:00+02:00;Amsterdam-Van Diemenstraat;CO;227,5;1
2017-04-03 04:00:00+02:00;Amsterdam-Van Diemenstraat;FN;0,29;1
2017-04-03 04:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;6,3;1
2017-04-03 04:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;11,7;2
2017-04-03 04:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;9,9;1
2017-04-03 04:00:00+02:00;Amsterdam-Van Diemenstraat;O3;77,6;5
2017-04-03 04:00:00+02:00;Amsterdam-Van Diemenstraat;NO;1,0;1
2017-04-03 04:00:00+02:00;Amsterdam-Van Diemenstraat;CO;240,3;1
2017-04-03 05:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;7,3;1
2017-04-03 05:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;10,0;2
2017-04-03 05:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;8,6;1
2017-04-03 05:00:00+02:00;Amsterdam-Van Diemenstraat;FN;0,31;1
2017-04-03 05:00:00+02:00;Amsterdam-Van Diemenstraat;O3;75,2;5
2017-04-03 05:00:00+02:00;Amsterdam-Van Diemenstraat;NO;0,7;1
2017-04-03 05:00:00+02:00;Amsterdam-Van Diemenstraat;CO;241,3;1
2017-04-03 06:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;15,4;2
2017-04-03 06:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;9,0;1
2017-04-03 06:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;10,5;2
2017-04-03 06:00:00+02:00;Amsterdam-Van Diemenstraat;FN;0,34;1
2017-04-03 06:00:00+02:00;Amsterdam-Van Diemenstraat;O3;66,7;5
2017-04-03 06:00:00+02:00;Amsterdam-Van Diemenstraat;NO;4,4;1
2017-04-03 06:00:00+02:00;Amsterdam-Van Diemenstraat;CO;252,4;2
2017-04-03 07:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;29,9;3
2017-04-03 07:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;15,0;3
2017-04-03 07:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;14,1;2
2017-04-03 07:00:00+02:00;Amsterdam-Van Diemenstraat;FN;0,7;1
2017-04-03 07:00:00+02:00;Amsterdam-Van Diemenstraat;O3;56,3;4
2017-04-03 07:00:00+02:00;Amsterdam-Van Diemenstraat;NO;11,4;2
2017-04-03 07:00:00+02:00;Amsterdam-Van Diemenstraat;CO;303,0;2
2017-04-03 08:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;50,8;5
2017-04-03 08:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;9,6;1
2017-04-03 08:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;11,9;2
2017-04-03 08:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,29;2
2017-04-03 08:00:00+02:00;Amsterdam-Van Diemenstraat;O3;41,5;4
2017-04-03 08:00:00+02:00;Amsterdam-Van Diemenstraat;NO;22,2;2
2017-04-03 08:00:00+02:00;Amsterdam-Van Diemenstraat;CO;375,2;2
2017-04-03 09:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;68,6;6
2017-04-03 09:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;14,8;2
2017-04-03 09:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;15,9;2
2017-04-03 09:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,32;2
2017-04-03 09:00:00+02:00;Amsterdam-Van Diemenstraat;O3;34,3;3
2017-04-03 09:00:00+02:00;Amsterdam-Van Diemenstraat;NO;41,5;3
2017-04-03 09:00:00+02:00;Amsterdam-Van Diemenstraat;CO;491,0;2
2017-04-03 10:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;67,3;6
2017-04-03 10:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;14,0;2
2017-04-03 10:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;19,5;2
2017-04-03 10:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,07;2
2017-04-03 10:00:00+02:00;Amsterdam-Van Diemenstraat;O3;31,3;3
2017-04-03 10:00:00+02:00;Amsterdam-Van Diemenstraat;NO;40,2;3
2017-04-03 10:00:00+02:00;Amsterdam-Van Diemenstraat;CO;482,5;2
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;73,9;6
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;16,6;3
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;26,4;3
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,47;2
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;O3;24,0;2
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;NO;57,3;4
2017-04-03 11:00:00+02:00;Amsterdam-Van Diemenstraat;CO;421,3;2
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;67,8;6
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;19,7;3
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;22,0;3
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,87;2
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;O3;29,4;2
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;NO;46,7;3
2017-04-03 12:00:00+02:00;Amsterdam-Van Diemenstraat;CO;468,3;2
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;57,7;5
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;16,4;3
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;24,3;3
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,96;2
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;O3;34,6;3
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;NO;35,0;3
2017-04-03 13:00:00+02:00;Amsterdam-Van Diemenstraat;CO;425,0;2
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;58,3;5
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;15,3;3
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;28,6;3
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,98;2
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;O3;30,1;3
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;NO;41,5;3
2017-04-03 14:00:00+02:00;Amsterdam-Van Diemenstraat;CO;461,1;2
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,43;2
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;58,8;5
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;19,4;3
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;29,5;3
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;O3;29,7;2
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;NO;42,9;3
2017-04-03 15:00:00+02:00;Amsterdam-Van Diemenstraat;CO;510,3;3
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;59,1;5
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;21,9;4
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;31,3;4
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,35;2
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;O3;28,9;2
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;NO;36,7;3
2017-04-03 16:00:00+02:00;Amsterdam-Van Diemenstraat;CO;567,3;3
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;63,2;6
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;22,2;4
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;33,9;4
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,49;2
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;O3;27,2;2
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;NO;35,2;3
2017-04-03 17:00:00+02:00;Amsterdam-Van Diemenstraat;CO;629,5;3
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;70,1;6
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;15,2;3
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;27,2;3
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,23;2
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;O3;24,0;2
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;NO;43,9;3
2017-04-03 18:00:00+02:00;Amsterdam-Van Diemenstraat;CO;691,8;3
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;63,9;6
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;15,5;3
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;23,8;3
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;FN;1,97;2
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;O3;25,7;2
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;NO;33,8;3
2017-04-03 19:00:00+02:00;Amsterdam-Van Diemenstraat;CO;570,0;3
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;74,8;6
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;13,4;2
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;27,0;3
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,85;2
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;O3;12,7;1
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;NO;30,9;3
2017-04-03 20:00:00+02:00;Amsterdam-Van Diemenstraat;CO;575,3;3
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;78,3;7
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;20,2;4
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;27,2;3
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,52;2
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;O3;3,6;1
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;NO;35,0;3
2017-04-03 21:00:00+02:00;Amsterdam-Van Diemenstraat;CO;480,2;2
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;83,0;7
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;PM25;18,5;3
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;PM10;29,2;3
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;FN;2,84;2
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;O3;0,5;1
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;NO;42,0;3
2017-04-03 22:00:00+02:00;Amsterdam-Van Diemenstraat;CO;534,1;3
2017-04-03 23:00:00+02:00;Amsterdam-Van Diemenstraat;NO2;78,8;7
