tijdstip;locatie;component;waarde;LKI
2017-04-03 02:00:00+02:00;Amsterdam-Vondelpark;NO;0,0;1
2017-04-03 02:00:00+02:00;Amsterdam-Vondelpark;NO2;7,9;1
2017-04-03 02:00:00+02:00;Amsterdam-Vondelpark;PM25;5,6;1
2017-04-03 02:00:00+02:00;Amsterdam-Vondelpark;PM10;11,1;2
2017-04-03 02:00:00+02:00;Amsterdam-Vondelpark;FN;0,25;1
2017-04-03 02:00:00+02:00;Amsterdam-Vondelpark;O3;84,4;6
2017-04-03 02:00:00+02:00;Amsterdam-Vondelpark;CO;60,3;1
2017-04-03 03:00:00+02:00;Amsterdam-Vondelpark;NO2;8,7;1
2017-04-03 03:00:00+02:00;Amsterdam-Vondelpark;PM25;7,1;1
2017-04-03 03:00:00+02:00;Amsterdam-Vondelpark;PM10;8,7;1
2017-04-03 03:00:00+02:00;Amsterdam-Vondelpark;FN;0,23;1
2017-04-03 03:00:00+02:00;Amsterdam-Vondelpark;O3;81,8;6
2017-04-03 03:00:00+02:00;Amsterdam-Vondelpark;NO;0,1;1
2017-04-03 03:00:00+02:00;Amsterdam-Vondelpark;CO;53,7;1
2017-04-03 04:00:00+02:00;Amsterdam-Vondelpark;NO2;7,3;1
2017-04-03 04:00:00+02:00;Amsterdam-Vondelpark;PM25;9,0;1
2017-04-03 04:00:00+02:00;Amsterdam-Vondelpark;PM10;8,2;1
2017-04-03 04:00:00+02:00;Amsterdam-Vondelpark;FN;0,22;1
2017-04-03 04:00:00+02:00;Amsterdam-Vondelpark;O3;84,2;6
2017-04-03 04:00:00+02:00;Amsterdam-Vondelpark;NO;0,0;1
2017-04-03 04:00:00+02:00;Amsterdam-Vondelpark;CO;58,6;1
2017-04-03 05:00:00+02:00;Amsterdam-Vondelpark;NO2;6,8;1
2017-04-03 05:00:00+02:00;Amsterdam-Vondelpark;PM25;6,7;1
2017-04-03 05:00:00+02:00;Amsterdam-Vondelpark;PM10;9,3;1
2017-04-03 05:00:00+02:00;Amsterdam-Vondelpark;FN;0,18;1
2017-04-03 05:00:00+02:00;Amsterdam-Vondelpark;O3;85,9;6
2017-04-03 05:00:00+02:00;Amsterdam-Vondelpark;NO;0,0;1
2017-04-03 05:00:00+02:00;Amsterdam-Vondelpark;CO;49,8;1
2017-04-03 06:00:00+02:00;Amsterdam-Vondelpark;NO2;9,3;1
2017-04-03 06:00:00+02:00;Amsterdam-Vondelpark;PM25;4,0;1
2017-04-03 06:00:00+02:00;Amsterdam-Vondelpark;PM10;10,1;2
2017-04-03 06:00:00+02:00;Amsterdam-Vondelpark;FN;0,2;1
2017-04-03 06:00:00+02:00;Amsterdam-Vondelpark;O3;81,0;6
2017-04-03 06:00:00+02:00;Amsterdam-Vondelpark;NO;0,1;1
2017-04-03 06:00:00+02:00;Amsterdam-Vondelpark;CO;51,4;1
2017-04-03 07:00:00+02:00;Amsterdam-Vondelpark;NO2;8,6;1
2017-04-03 07:00:00+02:00;Amsterdam-Vondelpark;PM25;6,6;1
