tijdstip;locatie;component;waarde;LKI
2017-04-03 11:00:00+02:00;Amsterdam-Westerpark;PM25;17,8;3
2017-04-03 11:00:00+02:00;Amsterdam-Westerpark;PM10;25,6;3
2017-04-03 12:00:00+02:00;Amsterdam-Westerpark;PM25;15,0;3
2017-04-03 12:00:00+02:00;Amsterdam-Westerpark;PM10;24,8;3
2017-04-03 13:00:00+02:00;Amsterdam-Westerpark;PM25;18,4;3
2017-04-03 13:00:00+02:00;Amsterdam-Westerpark;PM10;27,2;3
2017-04-03 14:00:00+02:00;Amsterdam-Westerpark;PM25;15,1;3
2017-04-03 14:00:00+02:00;Amsterdam-Westerpark;PM10;22,7;3
2017-04-03 15:00:00+02:00;Amsterdam-Westerpark;PM25;20,3;4
2017-04-03 15:00:00+02:00;Amsterdam-Westerpark;PM10;30,2;4
2017-04-03 16:00:00+02:00;Amsterdam-Westerpark;PM25;19,3;3
2017-04-03 16:00:00+02:00;Amsterdam-Westerpark;PM10;32,4;4
2017-04-03 17:00:00+02:00;Amsterdam-Westerpark;PM10;32,2;4
2017-04-03 17:00:00+02:00;Amsterdam-Westerpark;PM25;21,2;4
2017-04-03 18:00:00+02:00;Amsterdam-Westerpark;PM25;23,3;4
2017-04-03 18:00:00+02:00;Amsterdam-Westerpark;PM10;20,5;3
2017-04-03 19:00:00+02:00;Amsterdam-Westerpark;PM25;19,6;3
2017-04-03 19:00:00+02:00;Amsterdam-Westerpark;PM10;22,5;3
2017-04-03 20:00:00+02:00;Amsterdam-Westerpark;PM25;20,9;4
2017-04-03 20:00:00+02:00;Amsterdam-Westerpark;PM10;21,3;3
2017-04-03 21:00:00+02:00;Amsterdam-Westerpark;PM25;21,0;4
2017-04-03 21:00:00+02:00;Amsterdam-Westerpark;PM10;23,8;3
2017-04-03 22:00:00+02:00;Amsterdam-Westerpark;SO2;0,3;1
2017-04-03 22:00:00+02:00;Amsterdam-Westerpark;PM25;21,2;4
2017-04-03 23:00:00+02:00;Amsterdam-Westerpark;SO2;0,2;1
2017-04-03 23:00:00+02:00;Amsterdam-Westerpark;PM25;20,5;4
2017-04-03 23:00:00+02:00;Amsterdam-Westerpark;PM10;25,7;3
2017-04-04 00:00:00+02:00;Amsterdam-Westerpark;SO2;0,4;1
2017-04-04 00:00:00+02:00;Amsterdam-Westerpark;PM25;25,7;4
2017-04-04 00:00:00+02:00;Amsterdam-Westerpark;PM10;34,0;4
2017-04-04 01:00:00+02:00;Amsterdam-Westerpark;SO2;0,5;1
2017-04-04 01:00:00+02:00;Amsterdam-Westerpark;PM25;24,5;4
2017-04-04 01:00:00+02:00;Amsterdam-Westerpark;PM10;34,9;4
2017-04-04 02:00:00+02:00;Amsterdam-Westerpark;SO2;0,1;1
2017-04-04 02:00:00+02:00;Amsterdam-Westerpark;PM25;29,3;4
2017-04-04 02:00:00+02:00;Amsterdam-Westerpark;PM10;28,8;3
2017-04-04 03:00:00+02:00;Amsterdam-Westerpark;SO2;0,2;1
2017-04-04 03:00:00+02:00;Amsterdam-Westerpark;PM25;30,9;5
2017-04-04 03:00:00+02:00;Amsterdam-Westerpark;PM10;38,2;4
2017-04-04 04:00:00+02:00;Amsterdam-Westerpark;SO2;0,2;1
2017-04-04 04:00:00+02:00;Amsterdam-Westerpark;PM25;30,4;5
2017-04-04 04:00:00+02:00;Amsterdam-Westerpark;PM10;33,4;4
2017-04-04 05:00:00+02:00;Amsterdam-Westerpark;SO2;0,1;1
2017-04-04 05:00:00+02:00;Amsterdam-Westerpark;PM25;29,9;4
2017-04-04 05:00:00+02:00;Amsterdam-Westerpark;PM10;35,6;4
2017-04-04 06:00:00+02:00;Amsterdam-Westerpark;SO2;0,1;1
2017-04-04 06:00:00+02:00;Amsterdam-Westerpark;PM25;27,7;4
2017-04-04 06:00:00+02:00;Amsterdam-Westerpark;PM10;35,9;4
2017-04-04 07:00:00+02:00;Amsterdam-Westerpark;SO2;0,3;1
2017-04-04 07:00:00+02:00;Amsterdam-Westerpark;PM25;27,3;4
2017-04-04 07:00:00+02:00;Amsterdam-Westerpark;PM10;29,7;3
2017-04-04 08:00:00+02:00;Amsterdam-Westerpark;SO2;0,4;1
2017-04-04 08:00:00+02:00;Amsterdam-Westerpark;PM25;23,3;4
2017-04-04 08:00:00+02:00;Amsterdam-Westerpark;PM10;30,7;4
2017-04-04 09:00:00+02:00;Amsterdam-Westerpark;SO2;0,8;1
2017-04-04 09:00:00+02:00;Amsterdam-Westerpark;PM25;32,9;5
2017-04-04 09:00:00+02:00;Amsterdam-Westerpark;PM10;41,2;4
2017-04-04 10:00:00+02:00;Amsterdam-Westerpark;SO2;1,1;1
2017-04-04 10:00:00+02:00;Amsterdam-Westerpark;PM25;39,2;5
2017-04-04 10:00:00+02:00;Amsterdam-Westerpark;PM10;49,2;5
2017-04-04 11:00:00+02:00;Amsterdam-Westerpark;SO2;1,9;1
2017-04-04 11:00:00+02:00;Amsterdam-Westerpark;PM25;35,4;5
2017-04-04 11:00:00+02:00;Amsterdam-Westerpark;PM10;43,2;4
2017-04-04 12:00:00+02:00;Amsterdam-Westerpark;SO2;3,9;1
2017-04-04 12:00:00+02:00;Amsterdam-Westerpark;PM25;30,7;5
2017-04-04 12:00:00+02:00;Amsterdam-Westerpark;PM10;46,9;5
2017-04-04 13:00:00+02:00;Amsterdam-Westerpark;SO2;2,7;1
2017-04-04 13:00:00+02:00;Amsterdam-Westerpark;PM25;25,4;4
2017-04-04 13:00:00+02:00;Amsterdam-Westerpark;PM10;42,4;4
2017-04-04 14:00:00+02:00;Amsterdam-Westerpark;SO2;1,6;1
2017-04-04 14:00:00+02:00;Amsterdam-Westerpark;PM25;22,0;4
2017-04-04 14:00:00+02:00;Amsterdam-Westerpark;PM10;29,3;3
2017-04-04 15:00:00+02:00;Amsterdam-Westerpark;SO2;1,3;1
2017-04-04 15:00:00+02:00;Amsterdam-Westerpark;PM25;22,8;4
